0   0       6.0
0.1 0.16    6.0
0.2 0.25    6.0
0.3 0.29    6.0
0.4 0.32    6.0
0.5 0.36    5.8
0.6 0.39    6.1
0.7 0.40    6.1
0.8 0.42    6.1
0.9 0.45    6.1
1.0 0.47    6.3
1.1 0.48    6.5
1.2 0.51    7.2
1.3 0.52    7.6
1.4 0.54    8.9
1.5 0.57    10.7
1.6 0.58    11.9
1.7 0.59    12.8
1.8 0.62    17.8
1.9 0.62    18.7
2.0 0.64    21.4
